city,population,country,founded_year,area_km2
мОсква,13000000,Russia,1147,2561
тула,468000,Russia,1146,146
ярОславль,608000,Russia,1010,205
петербург,5600000,Russia,1703,1439
псков,210000,Russia,903,95
мурманск,270000,Russia,1916,154
владивосток,600000,Russia,1860,331
сахалин,490000,Russia,1882,87100
забаровск     ,610000,Russia,1858,383
     казань,1300000,Russia,1005,425
новосибирск,1600000,Russia,1893,502
екатеринбург,1500000,Russia,1723,495
самара,1100000,Russia,1586,541
омск,1100000,Russia,1716,572
челябинск,1200000,Russia,1736,530
ростов-на-дону,1100000,Russia,1749,354
краснодар,1000000,Russia,1793,339
воронеж,1050000,Russia,1586,596
пермь,1000000,Russia,1723,799
волгоград,1000000,Russia,1589,859
красноярск,1100000,Russia,1628,353
саратов,840000,Russia,1590,394
тюмень,820000,Russia,1586,698
тольятти,700000,Russia,1737,314
ижевск,640000,Russia,1760,315
барнаул,630000,Russia,1730,321
ульяновск,620000,Russia,1648,316
иркутск,610000,Russia,1661,277
хабаровск,620000,Russia,1858,386
калининград,500000,Russia,1255,223
севастополь,540000,Russia,1783,1079
архангельск,350000,Russia,1584,294
смоленск,320000,Russia,863,166
брянск,400000,Russia,985,186
орёл,300000,Russia,1566,121
курск,440000,Russia,1032,190
белгород,390000,Russia,1596,153
кострома,270000,Russia,1152,144
иваново,400000,Russia,1871,104
владимир,350000,Russia,990,137
рязан,530000,Russia,1095,224
калуга,330000,Russia,1371,168
тамбов,290000,Russia,1636,92
липецк,500000,Russia,1703,320
астрахань,520000,Russia,1558,208
махачкала,620000,Russia,1844,468
грозный,300000,Russia,1818,305
нальчик,240000,Russia,1818,131
владикавказ,300000,Russia,1784,291
ставрополь,450000,Russia,1777,276
чебоксары,500000,Russia,1469,233
йошкар-ола,280000,Russia,1584,100
саранск,320000,Russia,1641,71
пенза,520000,Russia,1663,305
киров,500000,Russia,1181,169
нижний новгород,1250000,Russia,1221,411
,,Russia,1800,200
мытищи,230000,Russia,1460,43
химки,250000,Russia,1939,110
подольск,310000,Russia,1781,40
балашиха,520000,Russia,1830,67
королёв,220000,Russia,1938,55
люберцы,210000,Russia,1623,12
домодедово,150000,Russia,1900,159
серпухов,125000,Russia,1339,32
коломна,140000,Russia,1177,65
долгопрудный,120000,Russia,1957,31
одинцово,180000,Russia,1470,19
видное,90000,Russia,1965,16
реутов,110000,Russia,1492,9
анапа,80000,Russia,1781,59
сочи,450000,Russia,1838,176
геленджик,75000,Russia,1831,122
новороссийск,340000,Russia,1838,834
,450000,Russia,1750,150
москва,13000000,Russia,1147,2561
тула,468000,Russia,1146,146
ярославль,608000,Russia,1010,205
петербург,5600000,Russia,1703,1439
псков,210000,Russia,903,95
мурманск,270000,Russia,1916,154
владивосток,600000,Russia,1860,331
сахалин,490000,Russia,1882,87100
забаровск,610000,Russia,1858,383
казань,1300000,Russia,1005,425
новосибирск,1600000,Russia,1893,502
екатеринбург,1500000,Russia,1723,495
самара,1100000,Russia,1586,541
омск,1100000,Russia,1716,572
челябинск,1200000,Russia,1736,530
ростов-на-дону,1100000,Russia,1749,354
краснодар,1000000,Russia,1793,339
воронеж,1050000,Russia,1586,596
пермь,1000000,Russia,1723,799
волгоград,1000000,Russia,1589,859
красноярск,1100000,Russia,1628,353
